latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-27.9726,-63.73189,301.88,1.01,1.01,2025-07-02,1915,Aqua,MODIS,50,6.1NRT,290.97,4.27,D
-27.81851,-62.7927,344.78,1,1,2025-07-02,1915,Aqua,MODIS,94,6.1NRT,293.7,52.27,D
-27.81997,-62.80263,319.73,1,1,2025-07-02,1915,Aqua,MODIS,80,6.1NRT,291.56,17.65,D
-27.79436,-64.10433,300.54,1.03,1.01,2025-07-02,1915,Aqua,MODIS,38,6.1NRT,289.42,4,D
-27.7677,-64.31563,359.92,1.04,1.02,2025-07-02,1915,Aqua,MODIS,99,6.1NRT,295.69,89.88,D
-27.76912,-64.32597,314.02,1.04,1.02,2025-07-02,1915,Aqua,MODIS,65,6.1NRT,291.16,11.64,D
-27.7587,-64.3172,315.24,1.04,1.02,2025-07-02,1915,Aqua,MODIS,76,6.1NRT,291.67,13.37,D
-27.6996,-64.22209,319.44,1.03,1.02,2025-07-02,1915,Aqua,MODIS,79,6.1NRT,291.3,17.17,D
-27.68305,-64.23552,319.38,1.03,1.02,2025-07-02,1915,Aqua,MODIS,79,6.1NRT,290.67,17.33,D
-27.23956,-61.53765,312.04,1.06,1.03,2025-07-02,1915,Aqua,MODIS,72,6.1NRT,289.08,11.91,D
-27.24119,-61.54805,301.53,1.05,1.03,2025-07-02,1915,Aqua,MODIS,48,6.1NRT,289.68,4.73,D
-27.57199,-64.09322,301.3,1.03,1.01,2025-07-02,1915,Aqua,MODIS,46,6.1NRT,291.07,4.47,D
-26.9156,-60.49443,307.24,1.17,1.07,2025-07-02,1915,Aqua,MODIS,36,6.1NRT,286.79,9.25,D
-26.91747,-60.50585,317.99,1.16,1.07,2025-07-02,1915,Aqua,MODIS,78,6.1NRT,288.53,19.52,D
-26.88727,-60.5004,304.02,1.17,1.07,2025-07-02,1915,Aqua,MODIS,33,6.1NRT,287.06,6.84,D
-27.58889,-65.31422,307.45,1.12,1.05,2025-07-02,1915,Aqua,MODIS,65,6.1NRT,288.38,10.08,D
-27.2071,-62.89401,302.73,1,1,2025-07-02,1915,Aqua,MODIS,53,6.1NRT,292.63,4.66,D
-26.86539,-60.99598,306.14,1.11,1.05,2025-07-02,1915,Aqua,MODIS,63,6.1NRT,288.74,8.3,D
-27.0483,-63.00706,302.33,1,1,2025-07-02,1915,Aqua,MODIS,52,6.1NRT,291.91,4.61,D
-26.65602,-60.84707,303.67,1.13,1.06,2025-07-02,1915,Aqua,MODIS,57,6.1NRT,290.13,6.92,D
-26.65377,-61.22474,302.24,1.09,1.04,2025-07-02,1915,Aqua,MODIS,51,6.1NRT,290.42,5.78,D
-26.80187,-62.7275,305.66,1.01,1,2025-07-02,1915,Aqua,MODIS,62,6.1NRT,289.69,6.78,D
-26.80334,-62.73738,310.75,1.01,1,2025-07-02,1915,Aqua,MODIS,70,6.1NRT,291.06,10.36,D
-26.77662,-64.66968,304.67,1.05,1.02,2025-07-02,1915,Aqua,MODIS,60,6.1NRT,290.61,5.79,D
-26.28345,-61.4012,301.94,1.09,1.04,2025-07-02,1915,Aqua,MODIS,50,6.1NRT,290.75,5.68,D
-26.25198,-61.26423,304.16,1.1,1.05,2025-07-02,1915,Aqua,MODIS,58,6.1NRT,290.6,7.58,D
-26.25371,-61.27497,304.2,1.1,1.05,2025-07-02,1915,Aqua,MODIS,58,6.1NRT,290.6,7.72,D
-33.55507,-66.29063,310.94,1.48,1.2,2025-07-02,1915,Aqua,MODIS,71,6.1NRT,287.28,20.97,D
-32.3159,-60.64368,303.06,1.03,1.01,2025-07-02,1915,Aqua,MODIS,55,6.1NRT,285.23,7.25,D
-31.77869,-58.18287,320.94,1.29,1.13,2025-07-02,1915,Aqua,MODIS,81,6.1NRT,284.11,30.91,D
-31.68299,-58.04496,301.1,1.31,1.14,2025-07-02,1915,Aqua,MODIS,39,6.1NRT,284.01,10.47,D
-31.70899,-58.36922,327.52,1.26,1.12,2025-07-02,1915,Aqua,MODIS,85,6.1NRT,285.27,39.35,D
-31.71125,-58.38215,322.34,1.26,1.11,2025-07-02,1915,Aqua,MODIS,82,6.1NRT,286.22,31,D
-32.05976,-60.71751,300.56,1.03,1.01,2025-07-02,1915,Aqua,MODIS,29,6.1NRT,284.88,6.17,D
-31.80972,-59.79913,318.2,1.09,1.04,2025-07-02,1915,Aqua,MODIS,78,6.1NRT,285.31,19.67,D
-31.8026,-59.79482,305.29,1.09,1.04,2025-07-02,1915,Aqua,MODIS,61,6.1NRT,284.76,9.69,D
-31.80441,-59.80606,308.51,1.09,1.04,2025-07-02,1915,Aqua,MODIS,67,6.1NRT,285.72,11.94,D
-31.88335,-60.71344,300.52,1.03,1.01,2025-07-02,1915,Aqua,MODIS,29,6.1NRT,284.32,5.88,D
-31.88501,-60.72406,311.94,1.03,1.01,2025-07-02,1915,Aqua,MODIS,0,6.1NRT,284.97,13.33,D
-31.82794,-60.59996,301.72,1.03,1.02,2025-07-02,1915,Aqua,MODIS,42,6.1NRT,284.74,6.74,D
-31.63572,-59.52069,300.54,1.12,1.06,2025-07-02,1915,Aqua,MODIS,38,6.1NRT,283.27,7.13,D
-31.63763,-59.53222,320.62,1.12,1.05,2025-07-02,1915,Aqua,MODIS,80,6.1NRT,284.39,24.83,D
-31.63953,-59.54375,300.99,1.12,1.05,2025-07-02,1915,Aqua,MODIS,44,6.1NRT,283.94,7.33,D
-31.74325,-60.47453,301.24,1.04,1.02,2025-07-02,1915,Aqua,MODIS,46,6.1NRT,283.21,6.69,D
-31.72866,-60.67134,313.28,1.03,1.02,2025-07-02,1915,Aqua,MODIS,56,6.1NRT,284.47,14.59,D
-31.73033,-60.68198,318.83,1.03,1.01,2025-07-02,1915,Aqua,MODIS,69,6.1NRT,285.26,19.66,D
-31.30957,-58.3281,303.59,1.29,1.13,2025-07-02,1915,Aqua,MODIS,56,6.1NRT,283.69,11.45,D
-31.57614,-60.41194,313.74,1.05,1.02,2025-07-02,1915,Aqua,MODIS,64,6.1NRT,285.25,15.75,D
-31.31639,-59.0174,303.45,1.19,1.08,2025-07-02,1915,Aqua,MODIS,56,6.1NRT,283.47,10.06,D
-31.65359,-62.39083,317.42,1,1,2025-07-02,1915,Aqua,MODIS,78,6.1NRT,286.95,16.7,D
-31.65507,-62.4012,314.14,1,1,2025-07-02,1915,Aqua,MODIS,74,6.1NRT,287.46,13.92,D
-31.23348,-60.12159,301.19,1.08,1.04,2025-07-02,1915,Aqua,MODIS,0,6.1NRT,285.1,7.17,D
-31.11523,-59.79515,310.58,1.11,1.05,2025-07-02,1915,Aqua,MODIS,70,6.1NRT,286.07,13.79,D
-31.11709,-59.8065,306.03,1.11,1.05,2025-07-02,1915,Aqua,MODIS,63,6.1NRT,285.45,10.21,D
-31.42147,-62.444,301.84,1,1,2025-07-02,1915,Aqua,MODIS,49,6.1NRT,286.74,5.69,D
-31.42295,-62.45434,303.92,1,1,2025-07-02,1915,Aqua,MODIS,57,6.1NRT,286.2,6.88,D
-31.41262,-62.44574,342.62,1,1,2025-07-02,1915,Aqua,MODIS,93,6.1NRT,288.75,49.05,D
-31.4141,-62.45609,342.02,1,1,2025-07-02,1915,Aqua,MODIS,93,6.1NRT,288.75,47.99,D
-30.82687,-59.0041,302.99,1.21,1.09,2025-07-02,1915,Aqua,MODIS,54,6.1NRT,284.01,10.07,D
-30.84348,-59.10218,320.18,1.2,1.09,2025-07-02,1915,Aqua,MODIS,80,6.1NRT,284.88,26.53,D
-30.84554,-59.11437,314.18,1.2,1.09,2025-07-02,1915,Aqua,MODIS,74,6.1NRT,285.53,19.59,D
-30.9385,-59.84744,308.91,1.11,1.05,2025-07-02,1915,Aqua,MODIS,59,6.1NRT,286.29,12.52,D
-30.96381,-60.23459,305.34,1.07,1.03,2025-07-02,1915,Aqua,MODIS,61,6.1NRT,285.1,9.41,D
-30.96559,-60.24557,325.12,1.07,1.03,2025-07-02,1915,Aqua,MODIS,84,6.1NRT,286.26,27.91,D
-30.7837,-59.75829,324.52,1.12,1.06,2025-07-02,1915,Aqua,MODIS,83,6.1NRT,286.28,27.35,D
-30.78397,-59.80046,303.76,1.12,1.05,2025-07-02,1915,Aqua,MODIS,43,6.1NRT,284.95,8.82,D
-30.70026,-59.76011,335.38,1.12,1.06,2025-07-02,1915,Aqua,MODIS,89,6.1NRT,287.36,42.65,D
-30.70217,-59.77156,320.36,1.12,1.06,2025-07-02,1915,Aqua,MODIS,65,6.1NRT,286.04,21.35,D
-26.59275,-63.82153,309.47,1.01,1,2025-07-02,1915,Aqua,MODIS,52,6.1NRT,289.81,9.81,D
-26.49919,-63.9352,316.44,1.01,1,2025-07-02,1915,Aqua,MODIS,76,6.1NRT,292.98,13.2,D
-26.5006,-63.94511,320.71,1.01,1,2025-07-02,1915,Aqua,MODIS,80,6.1NRT,291.85,17.38,D
-26.49033,-63.93678,312.79,1.01,1,2025-07-02,1915,Aqua,MODIS,44,6.1NRT,291.76,9.34,D
-26.49174,-63.94668,314.08,1.01,1,2025-07-02,1915,Aqua,MODIS,53,6.1NRT,291.29,10.51,D
-25.69998,-60.2283,304.32,1.25,1.11,2025-07-02,1915,Aqua,MODIS,59,6.1NRT,286.87,10.22,D
-26.27017,-64.06916,302.68,1.01,1.01,2025-07-02,1915,Aqua,MODIS,53,6.1NRT,290.72,4.97,D
-25.31091,-65.2618,302.56,1.07,1.03,2025-07-02,1915,Aqua,MODIS,53,6.1NRT,286.95,6.79,D
-24.78789,-63.02642,336.48,1.01,1.01,2025-07-02,1915,Aqua,MODIS,90,6.1NRT,284.83,36.12,D
-24.78936,-63.03619,319.38,1.01,1.01,2025-07-02,1915,Aqua,MODIS,60,6.1NRT,284.66,14.74,D
-23.53831,-64.2414,323.28,1,1,2025-07-02,1915,Aqua,MODIS,78,6.1NRT,279.05,20.83,D
-23.5397,-64.25098,317.22,1,1,2025-07-02,1915,Aqua,MODIS,73,6.1NRT,278.03,15.11,D
-26.90803,-60.50784,338.58,1.16,1.07,2025-07-02,1915,Aqua,MODIS,91,6.1NRT,289.64,50.1,D
-30.69977,-59.84863,305.99,1.12,1.05,2025-07-02,1915,Aqua,MODIS,35,6.1NRT,285.35,9.09,D
-30.70348,-59.87135,310.06,1.11,1.05,2025-07-02,1915,Aqua,MODIS,47,6.1NRT,285.83,12.37,D
-30.7595,-60.21802,307.37,1.08,1.04,2025-07-02,1915,Aqua,MODIS,65,6.1NRT,286.31,9.79,D
-30.67555,-59.75938,303.14,1.13,1.06,2025-07-02,1915,Aqua,MODIS,48,6.1NRT,285.67,7.95,D
-30.69792,-59.89609,308.93,1.11,1.05,2025-07-02,1915,Aqua,MODIS,23,6.1NRT,285.19,11.19,D
-30.69977,-59.90741,306.05,1.11,1.05,2025-07-02,1915,Aqua,MODIS,44,6.1NRT,285.19,9.86,D
-30.6719,-59.79582,313.5,1.12,1.06,2025-07-02,1915,Aqua,MODIS,61,6.1NRT,285.68,14.99,D
-30.67377,-59.80724,316.24,1.12,1.06,2025-07-02,1915,Aqua,MODIS,77,6.1NRT,285.68,18.1,D
-30.5865,-59.72673,301.75,1.13,1.06,2025-07-02,1915,Aqua,MODIS,0,6.1NRT,286.41,7.66,D
-30.5792,-59.7998,300.71,1.12,1.06,2025-07-02,1915,Aqua,MODIS,41,6.1NRT,285.46,6.53,D
-30.5923,-59.87957,335.87,1.12,1.05,2025-07-02,1915,Aqua,MODIS,68,6.1NRT,286.86,46,D
-30.4875,-59.74276,302.84,1.13,1.06,2025-07-02,1915,Aqua,MODIS,51,6.1NRT,285.07,7.97,D
